Essai RETRIEVAL7 (non gestion des décalages ⁾,,,"RETRIEVAL 8 (gestion décalage + retour à 0 quand sélection, ex P+S4)",,,RETRIEVAL 8 (same) mais reconstruction 3 (ajout d’espaces supplémentaires si retour plus long),,,Retrieval 9 (prise en compte effacement d’un effacement après un accent cironflexe et non ajout des end keys dans le csv) et reconstruction 3 ,,,Retrieval 10 (prise en compte des remplacements et certains caractères mal pris en compte (esperluette ou ponctuations après control) + reconstruction 4. Les réssultats sont les mêmes avec reconstruction 3 !,,,Retrieval 10 mais cette fois en faisant en sorte que si key = DELETE alors on ne prend pas en compte le remplacement ! Et reconstruction 4,,,Retrievval10 (en disant que si on appuie sur VK₁ si on a une value de 1 alors c’est bien 1 et pass & qui est mis) et reconstruction 4 (mais j’ai bien fait en sorte que si on a un remplacement seul on remplace par un espace) et on a adapté le script de conversion txt avec mammoth pour garder les tabulations,
P-S2,FALSE,,P-S2,FALSE,,P-S2,FALSE,,P-S2,FALSE,,P-S2,FALSE,,P-S2,FALSE,,P-S2,FALSE
P-S3,FALSE,,P-S3,FALSE,,P-S3,FALSE,,P-S3,FALSE,,P-S3,FALSE,,P-S3,FALSE,,P-S3,FALSE
P-S4,TRUE,,P-S4,TRUE,,P-S4,TRUE,,P-S4,TRUE,,P-S4,TRUE,,P-S4,TRUE,,P-S4,TRUE
P-S5,TRUE,,P-S5,TRUE,,P-S5,TRUE,,P-S5,TRUE,,P-S5,TRUE,,P-S5,TRUE,,P-S5,TRUE
P-S6,TRUE,,P-S6,TRUE,,P-S6,TRUE,,P-S6,TRUE,,P-S6,FALSE,,P-S6,FALSE,,P-S6,TRUE
P-S7,TRUE,,P-S7,TRUE,,P-S7,TRUE,,P-S7,TRUE,,P-S7,FALSE,,P-S7,FALSE,,P-S7,TRUE
P-S8,FALSE,,P-S8,FALSE,,P-S8,FALSE,,P-S8,FALSE,,P-S8,FALSE,,P-S8,FALSE,,P-S8,FALSE
P-S9,FALSE,,P-S9,FALSE,,P-S9,FALSE,,P-S9,FALSE,,P-S9,FALSE,,P-S9,FALSE,,P-S9,FALSE
P-S10,FALSE,,P-S10,FALSE,,P-S10,FALSE,,P-S10,FALSE,,P-S10,FALSE,,P-S10,FALSE,,P-S10,FALSE
P-S11,FALSE,,P-S11,FALSE,,P-S11,FALSE,,P-S11,FALSE,,P-S11,FALSE,,P-S11,FALSE,,P-S11,FALSE
P-S12,FALSE,,P-S12,FALSE,,P-S12,FALSE,,P-S12,FALSE,,P-S12,FALSE,,P-S12,FALSE,,P-S12,FALSE
P-S13,FALSE,,P-S13,FALSE,,P-S13,FALSE,,P-S13,FALSE,,P-S13,FALSE,,P-S13,FALSE,,P-S13,FALSE
P-S14,FALSE,,P-S14,FALSE,,P-S14,FALSE,,P-S14,FALSE,,P-S14,FALSE,,P-S14,FALSE,,P-S14,FALSE
P-S15,FALSE,,P-S15,FALSE,,P-S15,FALSE,,P-S15,FALSE,,P-S15,FALSE,,P-S15,FALSE,,P-S15,FALSE
P-S16,FALSE,,P-S16,FALSE,,P-S16,FALSE,,P-S16,FALSE,,P-S16,FALSE,,P-S16,FALSE,,P-S16,FALSE
P-S17,FALSE,,P-S17,FALSE,,P-S17,FALSE,,P-S17,FALSE,,P-S17,FALSE,,P-S17,FALSE,,P-S17,FALSE
P-S18,FALSE,,P-S18,FALSE,,P-S18,FALSE,,P-S18,FALSE,,P-S18,FALSE,,P-S18,FALSE,,P-S18,FALSE
P-S19,FALSE,,P-S19,FALSE,,P-S19,FALSE,,P-S19,FALSE,,P-S19,FALSE,,P-S19,FALSE,,P-S19,FALSE
